平台	Platform
店铺	Stores
业务单号	Business order number
平台订单状态	Platform order status
	
	
	
	
	
	
	
	
	
平台SKU编码	Platform SKU code
平台SPU编码	Platform SPU Code
平台规格ID	Platform specification ID
平台商品ID	Platform product ID
拉取商品信息	Pull product information
图片	Image
平台/店铺	Platform/Store
平台SKU信息	Platform SKU information
平台SPU信息	Platform SPU information
平台ID	Platform ID
订单	Orders
操作	Operation
	
	
	
平台订单号	Platform order number
平台订单状态	Platform order status
付款状态	Payment status
下单时间	Order time
付款时间	Payment time
最晚发货	Latest delivery
无需处理	No processing required


未知	Unknown
未确认	Not confirmed
风控中	Under wind control
待发货	Pending shipment
部分发货	Partially shipped
已发货	Shipped
已签收	Signed for
已完成	Completed
已退款	Refunded
已关闭	Closed
	
	
	
	
	
	
	
	
	
	
关联订单数	Number of associated orders
匹配系统SKU	Matching system SKU
快速匹配	Quick match
创建系统货品	Create system goods
拉取商品信息	Pull product information
