平台退货订单号	Platform return order number
平台订单号	Platform order number
平台退货子单号	Platform return sub order number
平台子单号	Platform sub order number
平台状态	Platform Status
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
系统状态	System Status
	
退货类型/退换类型	Return Type
	
	
	
退货阶段/退换阶段	Return stage
	
	
退货原因/退换原因	Return reason
原收件人	Original Recipient
电话	Landline
创建时间/创建	Creation Time
修改时间	Modify time
订单下单时间	Order Placement Time
系统订单状态	System order status
申请退款金额	Refund amount requested
实际退款金额	Actual Refund Amount
子单详情	Sub-order details
退回单价	Refund unit price
退回数量	Refund quantity
退回货款	Refund amount
递交	Submit
退回物流	Return to logistics
退回仓库	Return to warehouse
退货类型	Return Type
退货阶段/退换阶段	Return stage
退款时间/退款	Refund time
原收件地址	Original Receiving Address
退回总货款	Total amount returned
退回邮费	Refund Postage
退回总金额	Total amount returned
换出订单生成点	Exchange out order generation point
	
退回货品总数	Total Returned Goods
待入库货品总数	Total number of goods to be warehoused
已入库货品总数	Total number of incoming items
编辑中	In Edit
待入库	Pending
已入库	In-stock
全部	All
ERP订单号	System order number
订单信息	Order Information
状态类型	Status Type
货品信息	Item Information
金额	Amount
仓配信息	Warehouse Information
联系信息	Contact Information
时间	Time
编辑	Edit
移入待入库	Move in pending storage
取消	Cancel
返回编辑中	Back to editing in progress
停止等待	Stop waiting
停止等待的原因	Reasons to stop waiting
恢复	Resume
推送	Push
系统订单信息	System order information
平台订单信息	Platform order information
平台退换单	Platform Return Order
关联入库单	Associated incoming orders
换出订单	Exchanging out order
入库单号	Inbound order number
入库状态	Inbound Status
入库仓库	Inbound warehouse
入库数量	Inbound Quantity
请输入单号或引用订单	Please enter the order number or quote the order
退款币种	Refund Currency
换出总货款	Total amount of goods exchanged
换出邮费	Exchange Postage
换出总金额	Total amount exchanged
退回总货款	Total amount refunded
退回邮费	Refund of postage
退回总金额	Total amount refunded
